id,text,intent,sentiment,attachment_type,attachment_content
T0089,"I can't get the export feature to work, it just spins forever. Appreciate any help.",technical_issue,neutral,none,
T0178,I'm locked out of my account and the reset email never arrives. Appreciate any help.,account_access,negative,none,
T0187,Good morning. This is the third time I've contacted you and nobody has helped. Unacceptable.,complaint,negative,none,
T0002,"Sorry to bother you, but I don't understand my billing statement, there's a line item I didn't expect. Please let me know.",billing_question,negative,none,
T0059,"Good morning. Please refund the $223.55 I paid, I'm returning the product. This is pretty urgent for me.",refund_request,negative,none,
T0148,Good morning. Where is my order A43681? It was supposed to arrive last week.,order_status,neutral,none,
T0050,"Good morning. I was billed twice, please refund order A29410.",refund_request,neutral,document,"ORDER CONFIRMATION
Order #: A29410
Date: 2026-01-19
Item: Wireless Headphones
Total: $113.98
Thank you for your purchase!"
T0027,"Hello, There's a charge and a credit on the same statement, can you explain the bill? Please let me know.",billing_question,neutral,none,
T0136,"My tracking hasn't updated in days, what's going on with A49251? Appreciate any help.",order_status,neutral,none,
T0116,"Thanks for reading this. My order A52081 came damaged, there's a dent on the side. I've been a customer for years.",damaged_product,negative,image,photo_damaged
T0100,"Hi team, The package arrived and the screen is cracked, see the photo. Please let me know.",damaged_product,negative,none,
T0000,"Hello, I was charged $43.60 this month but my plan should be cheaper, can you explain the bill? Please let me know.",billing_question,neutral,none,
T0172,"Good morning. Someone may have accessed my account, I can't log in anymore. Thanks in advance.",account_access,neutral,none,
T0151,"Someone may have accessed my account, I can't log in anymore. Please let me know.",account_access,neutral,none,
T0024,Hey there — Can you break down what the $124.04 fee on my account is for? This is pretty urgent for me.,billing_question,neutral,none,
T0238,Quick question — Can I change my plan in the middle of a billing cycle? This is pretty urgent for me.,general_inquiry,neutral,none,
T0197,Hey there — I'm very disappointed and considering cancelling entirely.,complaint,negative,none,
T0198,Absolutely fed up — your team keeps ignoring my emails.,complaint,negative,none,
T0042,"The charge on my bill is wrong, I need that $21.06 returned for order A19508.",refund_request,neutral,document,"ORDER CONFIRMATION
Order #: A19508
Date: 2026-05-28
Item: Wireless Headphones
Total: $21.06
Thank you for your purchase!"
T0208,Good morning. This is the third time I've contacted you and nobody has helped. Unacceptable. I've been a customer for years.,complaint,negative,none,
T0189,"Thanks for reading this. Worst support experience ever, I've been waiting for weeks.",complaint,neutral,none,
T0177,"App keeps failing when I enter my password, I'm locked out. Appreciate any help.",account_access,negative,none,
T0224,Do you ship internationally to Canada?,general_inquiry,neutral,none,
T0176,"Hi team, There's an error every time I try to log in and the page crashes. I've been a customer for years.",account_access,negative,none,
T0159,Good morning. I forgot my password and the recovery link isn't working. Please let me know.,account_access,negative,none,
T0052,"Good morning. Please refund the $213.79 I paid, I'm returning the product. This is pretty urgent for me.",refund_request,neutral,none,
T0062,Hey there — Getting a 500 error when I try to save my settings. This is pretty urgent for me.,technical_issue,neutral,none,
T0012,Hey there — I see a refund was supposed to come back but I was charged $200.62 again.,billing_question,neutral,none,
T0087,"Hi team, The dashboard crashes whenever I open my account settings.",technical_issue,negative,none,
T0001,Thanks for reading this. Why is there an extra charge of $168.55 on my latest invoice?,billing_question,neutral,none,
T0058,"Hey there — I'd like a refund for order A77033, the item never worked.",refund_request,neutral,document,"ORDER CONFIRMATION
Order #: A77033
Date: 2026-05-16
Item: Wireless Headphones
Total: $44.56
Thank you for your purchase!"
T0049,"Sorry to bother you, but The charge on my bill is wrong, I need that $227.86 returned for order A19862.",refund_request,neutral,document,"ORDER CONFIRMATION
Order #: A19862
Date: 2026-06-14
Item: Wireless Headphones
Total: $227.86
Thank you for your purchase!"
T0182,"Worst support experience ever, I've been waiting for weeks. Thanks in advance.",complaint,negative,none,
